"","match","id","label","centrality","pageRank"
"132","19724.json",11,"alisha_lehmann",0.328217229203123,0.0322360904579305
"133","19724.json",12,"esmee_de_graaf",0.244290154319545,0.0379470933382698
"134","19725.json",1,"leigh_anne_robe",0.545929391247433,0.0527377820310034
"135","19725.json",2,"satara_murray",0.993448126271386,0.141000226386331
"136","19725.json",3,"anke_preuß",0.245556664294764,0.0288745844230977
"137","19725.json",4,"sophie_elizabeth_bradley_auckland",0.61366796382339,0.0604098198246984
"138","19725.json",5,"amy_rodgers",0.820011179644106,0.133279560157389
"139","19725.json",6,"jasmine_matthews",0.526890743559576,0.0413085415347634
"140","19725.json",7,"jessica_anne_clarke",0.368126907176396,0.0734132003076138
"141","19725.json",8,"christie_murray",1,0.127443268322722
"142","19725.json",9,"laura_coombs",0.846118536803836,0.128664588308044
"143","19725.json",10,"niamh_charles",0.757235306207777,0.107792738059625
"144","19725.json",11,"courtney_sweetman_kirk",0.254968519819569,0.0374379826757961
"145","19725.json",12,"kirsty_linnett",0.335642329430607,0.0389777903692573
"146","19725.json",13,"rinsola_babajide",0.174219113345323,0.0286599175996589
"147","19726.json",1,"faye_bryson",0.582251990536823,0.0788808258517951
"148","19726.json",2,"angharad_james",1,0.205650298846599
"149","19726.json",3,"kirstie_levell",0.365704603642628,0.0551711261040811
"150","19726.json",4,"simone_magill",0.817355572771713,0.109144973207735
"151","19726.json",5,"gabrielle_george",0.47666133522347,0.0635228621497174
"152","19726.json",6,"megan_finnigan",0.787163473789232,0.0895191263001131
"153","19726.json",7,"taylor_hinds",0.417781288813573,0.0603471530395692
"154","19726.json",8,"abbey_leigh_stringer",0.728578982952292,0.0945935937028975
"155","19726.json",9,"georgia_brougham",0.604005707791062,0.0775290008415359
"156","19726.json",10,"inessa_kaagman",0.930937374243368,0.110355826568636
"157","19726.json",11,"hannah_cain",0.156781535797502,0.0287365408209483
"158","19726.json",12,"claudia_walker",0,0.0132743362831858
"159","19726.json",13,"dominique_bruinenberg",0,0.0132743362831858
"160","19727.json",1,"grace_moloney",0.531829565181402,0.0598294894059747
"161","19727.json",2,"kirstyn_pearce",0.808235913728935,0.0908973818122811
"162","19727.json",3,"josanne_potter",0.740270668709852,0.0829744637744257
"163","19727.json",4,"remi_allen",0.611910326991243,0.0713451090411484
"164","19727.json",5,"sophie_howard",0.618088913265549,0.0873266172080363
"165","19727.json",6,"fara_williams",1,0.136282814212999
"166","19727.json",7,"lauren_bruton",0.822673543279559,0.0944348110919561
"167","19727.json",8,"rachel_furness",0.658178060817021,0.109692125202909
"168","19727.json",9,"brooke_chaplen",0.613875986099516,0.0755596233650871
"169","19727.json",10,"gemma_suzanne_davison",0.516710612753747,0.0603074058377099
"170","19727.json",11,"natasha_harding",0.560771865959226,0.0847447588247941
"171","19727.json",12,"mayumi_pacheco",0.2749149008068,0.0466054002226786
"172","19728.json",1,"poppy_pattinson",0.496940011093093,0.0564230262473942
"173","19728.json",2,"sophie_baggaley",0.579082670714778,0.108248989693852
"174","19728.json",3,"ella_rutherford",0.534696323752208,0.103354380443158
"175","19728.json",4,"carla_humphrey",0.193367589427774,0.0301905802411605
"176","19728.json",5,"danique_kerkdijk",1,0.107188950881424
"177","19728.json",6,"gemma_evans",0.676217702981541,0.0871743710895376
"178","19728.json",7,"julie_biesmans",0.635171183558509,0.104970007228323
"179","19728.json",8,"loren_dykes",0.67547499731905,0.0945413026010425
"180","19728.json",9,"lucy_graham",0.781735166749233,0.169071021735801
"181","19728.json",10,"frankie_brown",0.193367589427774,0.0301905802411605
"182","19728.json",11,"heather_payne",0.205679839776645,0.0410877527074319
"183","19728.json",12,"juliette_kemppi",0.349500581818354,0.0552133578773698
"184","19728.json",13,"ali_johnson",0,0.0123456790123457
"185","19729.json",1,"loren_dykes",0.586538359646079,0.120005730474162
"186","19729.json",2,"carla_humphrey",1,0.123628623776864
"187","19729.json",3,"gemma_evans",0.507900522840011,0.0506668520812914
"188","19729.json",4,"ella_rutherford",0.491438512597343,0.0986482121177476
"189","19729.json",5,"poppy_pattinson",0.738108664657497,0.100929229579869
"190","19729.json",6,"sophie_baggaley",0.629796937433122,0.0647700397409216
"191","19729.json",7,"abigail_harrison",0.762048873734047,0.0990956019170049
"192","19729.json",8,"danique_kerkdijk",0.491716051905128,0.0928381734697146
"193","19729.json",9,"julie_biesmans",0.359923139901314,0.0701700477124638
"194","19729.json",10,"lucy_graham",0.748177314068603,0.0921931789063455
"195","19729.json",11,"frankie_brown",0.544141756980178,0.0736013954254095
"196","19729.json",12,"rosella_ayane",9.96365482855716e-18,0.0134529147982063
"197","19730.json",1,"magdalena_ericsson",0.954326587665655,0.115369157661811
"198","19730.json",2,"maren_nævdal_mjelde",0.816342317228841,0.0929388136213822
"199","19730.json",3,"millie_bright",0.908962716826833,0.100700198440967
"200","19730.json",4,"jessica_carter",0.794111072701839,0.0750744421119757
"201","19730.json",5,"carly_mitchell_telford",0.391078385016848,0.0438870996181259
"202","19730.json",6,"jonna_andersson",1,0.0956949932763369
"203","19730.json",7,"so_yun_ji",0.925780084223271,0.114352678515714
"204","19730.json",8,"francesca_kirby",0.664762303620142,0.062832670131406
"205","19730.json",9,"maria_thorisdottir",0.758942531846928,0.0818505655225351
"206","19730.json",10,"ramona_bachmann",0.711411262401047,0.0781696213234417
"207","19730.json",11,"erin_cuthbert",0.923449120825485,0.102544393922646
"208","19730.json",12,"hannah_jayne_blundell",2.9396869171905e-17,0.0121951219512195
"209","19730.json",13,"bethany_england",2.9396869171905e-17,0.0121951219512195
"210","19730.json",14,"drew_spence",2.9396869171905e-17,0.0121951219512195
"211","19731.json",1,"amy_goddard",0.501206738012127,0.0955067935586364
"212","19731.json",2,"bonnie_horwood",1,0.174728988689456
"213","19731.json",3,"megan_walsh",0.264558595881332,0.0181598062953995
"214","19731.json",4,"amber_gaylor",0.723538780050797,0.133071100840669
"215","19731.json",5,"hannah_short",0.138434334641691,0.0181598062953995
"216","19731.json",6,"megan_alexander",0.241956524086056,0.0830211842183071
"217","19731.json",7,"olivia_fergusson",0.287492565935224,0.091923050713676
"218","19731.json",8,"anne_marie_heatherson",0.200310104432142,0.235785552375946
"219","19731.json",9,"ellie_mason",0.809793669293903,0.0591841686432179
"220","19731.json",10,"shannon_albuery",0.0871824615030824,0.0541399357784939
"221","19731.json",11,"georgia_evans",0.138434334641691,0.0181598062953995
"222","19731.json",12,"nicola_cousins",0.138434334641691,0.0181598062953995
"223","19732.json",1,"kirstyn_pearce",0.892220056416409,0.113867913263354
"224","19732.json",2,"josanne_potter",0.831690430829779,0.102690689013584
"225","19732.json",3,"grace_moloney",0.289478519352691,0.0392022909219839
"226","19732.json",4,"natasha_harding",0.828331763841084,0.0945869849462794
"227","19732.json",5,"rachel_furness",1,0.123400956596292
"228","19732.json",6,"rachel_rowe",0.684551780154394,0.0784023144492732
"229","19732.json",7,"lauren_bruton",0.818530835985268,0.0989970185435963
"230","19732.json",8,"brooke_chaplen",0.701274878857851,0.0751475175124292
"231","19732.json",9,"fara_williams",0.680025463820871,0.0821487480694587
"232","19732.json",10,"mayumi_pacheco",0.221106553327669,0.0290091796083156
"233","19732.json",11,"remi_allen",0.676603559369006,0.0834001066924549
"234","19732.json",12,"rebecca_jane",0.403049131972182,0.0496227620883807
"235","19732.json",13,"gemma_suzanne_davison",0.185596948949726,0.0295235182945988
"236","19733.json",1,"kerys_harrop",0.662873764185628,0.0852445346403164
"237","19733.json",2,"ann_katrin_berger",0.457133180292478,0.0556406937569204
"238","19733.json",3,"aoife_mannion",0.661373657995987,0.0837451028195551
"239","19733.json",4,"chloe_arthur",0.985530089600813,0.122585315363315
"240","19733.json",5,"meaghan_sargeant",0.442883339297235,0.0684577196468947
"241","19733.json",6,"hayley_ladd",1,0.130345268659413
"242","19733.json",7,"paige_williams",0.583332721896315,0.095753028810175
"243","19733.json",8,"marisa_ewers",0.65816283894123,0.0902322056709162
"244","19733.json",9,"charlie_wellings",0,0.012070006035003
"245","19733.json",10,"lucy_staniforth",0.748095630899199,0.109451759462824
"246","19733.json",11,"sarah_emma_mayling",0.479309387730511,0.0713943063307395
"247","19733.json",12,"emma_follis",0.199096503318287,0.0406805416041687
"248","19733.json",13,"shania_hayles",0,0.012070006035003
"249","19733.json",14,"lucy_quinn",0,0.0223295111647556
"250","19734.json",1,"georgia_brougham",0.60235565788676,0.0751435095620528
"251","19734.json",2,"gabrielle_george",1,0.12140907016052
"252","19734.json",3,"abbey_leigh_stringer",0.893161260446022,0.11247965035009
"253","19734.json",4,"angharad_james",0.97283065960907,0.120349222983813
"254","19734.json",5,"kirstie_levell",0.404444940574634,0.0461822689517876
"255","19734.json",6,"siri_worm",0.808602022739177,0.0930932421766908
"256","19734.json",7,"megan_finnigan",0.676257859795686,0.0873970968904208
"257","19734.json",8,"taylor_hinds",0.700474600439781,0.0876350107392413
"258","19734.json",9,"inessa_kaagman",0.316170659031,0.05191272703758
"259","19734.json",10,"dominique_bruinenberg",0.666521561155962,0.0889859922086175
"260","19734.json",11,"simone_magill",0.357046665071275,0.0644279961193198
"261","19734.json",12,"chloe_kelly",0.165648687810451,0.0361121681354903
"262","19734.json",13,"claudia_walker",0,0.0148720446843759
"263","19735.json",1,"jennifer_beattie",0.91687845706713,0.0994544078777764
"264","19735.json",2,"stephanie_houghton",0.766412903987473,0.0941207076010153
"265","19735.json",3,"gemma_bonner",0.750288668422693,0.0931888686254211
"266","19735.json",4,"keira_walsh",0.753738482427888,0.089149351430396
"267","19735.json",5,"esme_beth_morgan",0.669471664878528,0.0810067408282222
"268","19735.json",6,"jill_scott",1,0.111228266855559
"269","19735.json",7,"caroline_weir",0.616725301959275,0.08600064628722
"270","19735.json",8,"ellie_roebuck",0.350024702201299,0.0471986240166104
"271","19735.json",9,"tessa_wullaert",0.916471867351236,0.0992046144101959
"272","19735.json",10,"claire_emslie",0.541537023480483,0.0732954923700025
"273","19735.json",11,"nikita_parris",0.668160283570029,0.0776678932567995
"274","19735.json",12,"jessica_park",0,0.0138059009729
"275","19735.json",13,"georgia_stanway",0.122985570819011,0.0346784854678821
"276","19736.json",1,"lia_wälti",0.754742839845507,0.0912593593507934
"277","19736.json",2,"lisa_evans",0.545128820906179,0.080929849160525
"278","19736.json",3,"emma_mitchell",0.67744126571684,0.108563149735602
"279","19736.json",4,"jordan_nobbs",0.645598520853404,0.0758695598132672
"280","19736.json",5,"bethany_mead",0.665013467864145,0.0682704290928834
"281","19736.json",6,"danielle_van_de_donk",1,0.110284044403012
"282","19736.json",7,"dominique_johanna_anna_bloodworth",0.657573988845743,0.0938145954300339
"283","19736.json",8,"katie_mccabe",0.422314287199663,0.0486377992145643
"284","19736.json",9,"pauline_peyraud_magnin",0.168009680002818,0.0467738685977962
"285","19736.json",10,"kim_little",0.720599407985726,0.0920087511757419
"286","19736.json",11,"leah_williamson",0.79463702023888,0.0813050021761135
"287","19736.json",12,"vivianne_miedema",0.744874110523213,0.0899379128373214
"288","19736.json",13,"jessica_marie_samuelsson",2.10319931373346e-17,0.0123456790123457
"289","19737.json",1,"satara_murray",0.659014720749297,0.0843689862303205
"290","19737.json",2,"sophie_elizabeth_bradley_auckland",0.701585174484913,0.0766073075815587
"291","19737.json",3,"niamh_fahey",0.868562685304297,0.103384895752685
"292","19737.json",4,"jasmine_matthews",0.667868617975419,0.0650934476871612
"293","19737.json",5,"laura_coombs",0.919787133987931,0.11864049716047
"294","19737.json",6,"frances_kitching",0.467163909913079,0.0463111206557144
"295","19737.json",7,"leigh_anne_robe",1,0.128346311999709
"296","19737.json",8,"jessica_anne_clarke",0.738141075435216,0.0768739435006279
"297","19737.json",9,"rinsola_babajide",0.851595472697794,0.109751070317669
"298","19737.json",10,"kirsty_linnett",0.306461828626939,0.0479766375081942
"299","19737.json",11,"niamh_charles",0.647071937436481,0.073298421755836
"300","19737.json",12,"christie_murray",0.200500153631271,0.0332067559556948
"301","19737.json",13,"courtney_sweetman_kirk",0.0914192645967365,0.0247337597878951
"302","19737.json",14,"yana_daniels",2.46795738072631e-17,0.0114068441064639
"303","19738.json",1,"carla_humphrey",1,0.0978169469318873
"304","19738.json",2,"gemma_evans",0.461843110814112,0.0638833170164943
"305","19738.json",3,"juliette_kemppi",0.976982758803933,0.0998430397410547
"306","19738.json",4,"loren_dykes",0.673101091659652,0.0710276272945708
"307","19738.json",5,"lucy_graham",0.844095725701089,0.122743246614495
"308","19738.json",6,"poppy_pattinson",0.403770708265033,0.194996909539243
"309","19738.json",7,"sophie_baggaley",0.238902386477187,0.0529032878894058
"310","19738.json",8,"danique_kerkdijk",0.616553699829606,0.0608827487651634
"311","19738.json",9,"julie_biesmans",0.541800172891977,0.0636968576128338
"312","19738.json",10,"ella_rutherford",0.715199434133211,0.131764606755713
"313","19738.json",11,"frankie_brown",0.145161191371776,0.0269884970409335
"314","19738.json",12,"heather_payne",8.64128441261868e-18,0.0134529147982063
"315","19739.json",1,"kirsty_barton",0.772889547790287,0.111710285236732
"316","19739.json",2,"marie_hourihan",0.310793662440982,0.0593642497940636
"317","19739.json",3,"danielle_buet",1,0.155698088836859
"318","19739.json",4,"amanda_nildén",0.22197635832027,0.0436621937327022
"319","19739.json",5,"ellie_brazil",0.580135990791234,0.0981163055188759
"320","19739.json",6,"victoria_williams",0.535272131671186,0.10427310578981
"321","19739.json",7,"chloe_peplow",0.359537615982181,0.0570945418512853
"322","19739.json",8,"laura_rafferty",0.448029544589356,0.0738983883733421
"323","19739.json",9,"iniabasi_anefiok_umotong",0.179733970406455,0.0516289497370455
"324","19739.json",10,"jenna_legg",5.07252545143449e-18,0.0139907041757325
"325","19739.json",11,"kayleigh_green",0.751960850122805,0.120068860817596
"326","19739.json",12,"aileen_whelan",0.328481158079188,0.0565297867709502
"327","19739.json",13,"felicity_gibbons",0.222968929185868,0.0399738351892739
"328","19739.json",14,"jodie_brett",2.53626272571724e-18,0.0139907041757325
"329","19740.json",1,"rebecca_leigh_spencer",0.580589876962871,0.0626975333455253
"330","19740.json",2,"gilly_louise_scarlett_flaherty",1,0.119229130117527
"331","19740.json",3,"vyan_sampson",0.853280269479572,0.0942989840778537
"332","19740.json",4,"kate_longhurst",0.859279646505761,0.0955928361596322
"333","19740.json",5,"erin_simon",0.67755751361371,0.0957243467178707
"334","19740.json",6,"julia_simic",0.96340807501974,0.115692392358436
"335","19740.json",7,"leanne_kiernan",0.27662523376283,0.043469211550882
"336","19740.json",8,"ria_percival",0.831912047068271,0.0904175845178046
"337","19740.json",9,"alisha_lehmann",0.511785980147315,0.0715714283261343
"338","19740.json",10,"brianna_visalli",0.91192536900476,0.126298340782691
"339","19740.json",11,"esmee_de_graaf",0.253475360009484,0.030713570344028
"340","19740.json",12,"jane_ross",0.21319199866912,0.0326217041031636
"341","19740.json",13,"rosie_kmita",0.127896250567828,0.0216729375984514
"342","19741.json",1,"katie_mccabe",0.816928136233472,0.109768455348052
"343","19741.json",2,"lia_wälti",0.738465713412804,0.0846449901634743
"344","19741.json",3,"emma_mitchell",0.948308286291298,0.0965980369966446
"345","19741.json",4,"bethany_mead",0.667919453713978,0.0776041906550704
"346","19741.json",5,"dominique_johanna_anna_bloodworth",0.587028262754587,0.0518192873130013
"347","19741.json",6,"lisa_evans",0.910838264976144,0.0970004895193377
"348","19741.json",7,"danielle_van_de_donk",1,0.117012152976096
"349","19741.json",8,"jordan_nobbs",0.837101739183284,0.0886087827624651
"350","19741.json",9,"pauline_peyraud_magnin",0.273796607531217,0.0267700918146479
"351","19741.json",10,"leah_williamson",0.757602645831575,0.0830644195303845
"352","19741.json",11,"louise_quinn",0.31903724934191,0.0349807841524848
"353","19741.json",12,"vivianne_miedema",0.901149664764731,0.100332726556899
"354","19741.json",13,"jessica_marie_samuelsson",0,0.0107142857142857
"355","19741.json",14,"ava_kuyken",0.122950178889921,0.0210813064971573
"356","19742.json",1,"amy_goddard",0.359794023941417,0.0686215581463837
"357","19742.json",2,"megan_walsh",1.14058989151633e-16,0.0207278992210675
"358","19742.json",3,"amber_gaylor",1,0.181000866775331
"359","19742.json",4,"georgia_evans",0.810455429882689,0.126006448214386
"360","19742.json",5,"megan_alexander",0.284603485075996,0.0867608170370416
"361","19742.json",6,"ellie_mason",0.608435742808752,0.135287884471774
"362","19742.json",7,"hannah_short",0.286426876738009,0.0934325743371901
"363","19742.json",8,"shannon_albuery",0.284444990680775,0.0738088053843673
"364","19742.json",9,"olivia_fergusson",0.284444990680775,0.0738088053843673
"365","19742.json",10,"anne_marie_heatherson",0.318421230490977,0.0534158043008621
"366","19742.json",11,"emily_donovan",1.7240176304838e-17,0.0207278992210675
"367","19742.json",12,"liberty_piggott",1.7240176304838e-17,0.0207278992210675
"368","19742.json",13,"nicola_cousins",0.433916163760285,0.0456727382850946
"369","19743.json",1,"kerys_harrop",1,0.111128174873663
"370","19743.json",2,"aoife_mannion",0.929541118266879,0.109666920348836
"371","19743.json",3,"ann_katrin_berger",0.743448218313258,0.0761657844721179
"372","19743.json",4,"meaghan_sargeant",0.902035804051782,0.0907643169001394
"373","19743.json",5,"harriet_scott",0.697098787105034,0.0803194436001469
"374","19743.json",6,"chloe_arthur",0.864938621100738,0.122094136426231
"375","19743.json",7,"charlie_wellings",0.620193250456989,0.0585915987822968
"376","19743.json",8,"lucy_staniforth",0.997173229165307,0.150935755183241
"377","19743.json",9,"emma_follis",0.465056036938245,0.0564987759835527
"378","19743.json",10,"hayley_ladd",0.560234734969807,0.0643397266064078
"379","19743.json",11,"sarah_emma_mayling",0.620509426831852,0.0573516581527269
"380","19743.json",12,"marisa_ewers",0.152538625550241,0.0221437086706398
"381","19744.json",1,"dominique_johanna_anna_bloodworth",0.760009080270187,0.0863555308295291
"382","19744.json",2,"leah_williamson",0.766761855498991,0.0861332018241257
"383","19744.json",3,"louise_quinn",0.756065510167144,0.083716461473446
"384","19744.json",4,"emma_mitchell",0.680973001897435,0.0774965352372811
"385","19744.json",5,"jordan_nobbs",0.799461033066772,0.0835556874929134
"386","19744.json",6,"lia_wälti",1,0.109168636683082
"387","19744.json",7,"lisa_evans",0.86075562214507,0.092481043327105
"388","19744.json",8,"danielle_van_de_donk",0.883808364129949,0.0914470579783552
"389","19744.json",9,"vivianne_miedema",0.821954042428619,0.0838655427307539
"390","19744.json",10,"katie_mccabe",0.953329691047807,0.100341932009909
"391","19744.json",11,"sari_van_veenendaal",0.442614502388757,0.051921792195137
"392","19744.json",12,"jessica_marie_samuelsson",0.440151666191242,0.0535165782183624
